Date,Month,Year,Company,Pipeline,Key Point,Latitude,Longitude,Direction Of Flow,Trade Type,Product,Throughput (1000 m3/d),Committed Volumes (1000 m3/d),Uncommitted Volumes (1000 m3/d),Nameplate Capacity (1000 m3/d),Available Capacity (1000 m3/d),Reason For Variance
2006-01-01,1,2006,Trans Mountain Pipeline ULC,Trans Mountain pipeline,Burnaby,49.2685,-122.931,west,intracanada,domestic heavy,0.0,,,,,
2006-01-01,1,2006,Trans Mountain Pipeline ULC,Trans Mountain pipeline,Burnaby,49.2685,-122.931,west,intracanada,domestic light,7.779232258064517,,,,,
2006-01-01,1,2006,Trans Mountain Pipeline ULC,Trans Mountain pipeline,Burnaby,49.2685,-122.931,west,intracanada,refined petroleum products,12.968490322580646,,,,,
2006-01-01,1,2006,Trans Mountain Pipeline ULC,Trans Mountain pipeline,Sumas,49.0766,-122.203,south,export,domestic heavy,0.6254645161290323,,,,,
2006-01-01,1,2006,Trans Mountain Pipeline ULC,Trans Mountain pipeline,Sumas,49.0766,-122.203,south,export,domestic light,14.894087096774191,,,,,
2006-01-01,1,2006,Trans Mountain Pipeline ULC,Trans Mountain pipeline,Sumas,49.0766,-122.203,south,export,refined petroleum products,0.0,,,,,
2006-01-01,1,2006,Trans Mountain Pipeline ULC,Trans Mountain pipeline,Westridge,49.2908,-122.95,west,export,domestic heavy,3.5994741935483874,,,,,
2006-01-01,1,2006,Trans Mountain Pipeline ULC,Trans Mountain pipeline,Westridge,49.2908,-122.95,west,export,domestic light,0.4057741935483871,,,,,
2006-01-01,1,2006,Trans Mountain Pipeline ULC,Trans Mountain pipeline,Westridge,49.2908,-122.95,west,export,refined petroleum products,0.0,,,,,
2006-01-01,1,2006,Trans Mountain Pipeline ULC,Trans Mountain pipeline,system,,,,,,,,,,35.0,
2006-02-01,2,2006,Trans Mountain Pipeline ULC,Trans Mountain pipeline,Burnaby,49.2685,-122.931,west,intracanada,domestic heavy,0.0,,,,,
2006-02-01,2,2006,Trans Mountain Pipeline ULC,Trans Mountain pipeline,Burnaby,49.2685,-122.931,west,intracanada,domestic light,7.857021428571428,,,,,
2006-02-01,2,2006,Trans Mountain Pipeline ULC,Trans Mountain pipeline,Burnaby,49.2685,-122.931,west,intracanada,refined petroleum products,14.060675000000002,,,,,
2006-02-01,2,2006,Trans Mountain Pipeline ULC,Trans Mountain pipeline,Sumas,49.0766,-122.203,south,export,domestic heavy,1.6786857142857143,,,,,
2006-02-01,2,2006,Trans Mountain Pipeline ULC,Trans Mountain pipeline,Sumas,49.0766,-122.203,south,export,domestic light,11.64127142857143,,,,,
2006-02-01,2,2006,Trans Mountain Pipeline ULC,Trans Mountain pipeline,Sumas,49.0766,-122.203,south,export,refined petroleum products,0.0,,,,,
2006-02-01,2,2006,Trans Mountain Pipeline ULC,Trans Mountain pipeline,Westridge,49.2908,-122.95,west,export,domestic heavy,2.4701678571428576,,,,,
2006-02-01,2,2006,Trans Mountain Pipeline ULC,Trans Mountain pipeline,Westridge,49.2908,-122.95,west,export,domestic light,0.27039285714285716,,,,,
2006-02-01,2,2006,Trans Mountain Pipeline ULC,Trans Mountain pipeline,Westridge,49.2908,-122.95,west,export,refined petroleum products,0.0,,,,,
2006-02-01,2,2006,Trans Mountain Pipeline ULC,Trans Mountain pipeline,system,,,,,,,,,,36.0,
2006-03-01,3,2006,Trans Mountain Pipeline ULC,Trans Mountain pipeline,Burnaby,49.2685,-122.931,west,intracanada,domestic heavy,0.0,,,,,
2006-03-01,3,2006,Trans Mountain Pipeline ULC,Trans Mountain pipeline,Burnaby,49.2685,-122.931,west,intracanada,domestic light,7.8982032258064505,,,,,
2006-03-01,3,2006,Trans Mountain Pipeline ULC,Trans Mountain pipeline,Burnaby,49.2685,-122.931,west,intracanada,refined petroleum products,12.80507419354839,,,,,
