Date,Day,Month,Year,Company,Pipeline,Key Point,Latitude,Longitude,Direction Of Flow,Trade Type,Capacity (1000 m3/d),Throughput (1000 m3/d),Throughput (GJ/d)
2006-01-01,1,1,2006,NGTL GP Ltd. as general partner on behalf of NGTL Limited Partnership,NGTL System,East Gate,50.6608,-110.028,east & southeast,intracanada,220461.0,228618.3,8641771.739999998
2006-01-01,1,1,2006,NGTL GP Ltd. as general partner on behalf of NGTL Limited Partnership,NGTL System,North and East,53.6374,-112.018,east & north,intracanada,64843.0,27548.92794126377,1041349.4761797704
2006-01-01,1,1,2006,NGTL GP Ltd. as general partner on behalf of NGTL Limited Partnership,NGTL System,Upstream of James River,51.9475,-114.74,southeast & east,intracanada,187479.0,159126.64888251817,6014987.327759187
2006-01-01,1,1,2006,NGTL GP Ltd. as general partner on behalf of NGTL Limited Partnership,NGTL System,West Gate,49.6348,-114.588,west,intracanada,81013.0,38786.5,1466129.7
2006-01-02,2,1,2006,NGTL GP Ltd. as general partner on behalf of NGTL Limited Partnership,NGTL System,East Gate,50.6608,-110.028,east & southeast,intracanada,220461.0,228982.9,8655553.62
2006-01-02,2,1,2006,NGTL GP Ltd. as general partner on behalf of NGTL Limited Partnership,NGTL System,North and East,53.6374,-112.018,east & north,intracanada,64843.0,28186.92794126377,1065465.8761797703
2006-01-02,2,1,2006,NGTL GP Ltd. as general partner on behalf of NGTL Limited Partnership,NGTL System,Upstream of James River,51.9475,-114.74,southeast & east,intracanada,187479.0,157557.64888251817,5955679.127759187
2006-01-02,2,1,2006,NGTL GP Ltd. as general partner on behalf of NGTL Limited Partnership,NGTL System,West Gate,49.6348,-114.588,west,intracanada,81013.0,37894.5,1432412.0999999999
2006-01-03,3,1,2006,NGTL GP Ltd. as general partner on behalf of NGTL Limited Partnership,NGTL System,East Gate,50.6608,-110.028,east & southeast,intracanada,220461.0,226252.4,8552340.719999999
2006-01-03,3,1,2006,NGTL GP Ltd. as general partner on behalf of NGTL Limited Partnership,NGTL System,North and East,53.6374,-112.018,east & north,intracanada,64843.0,28141.92794126377,1063764.8761797703
2006-01-03,3,1,2006,NGTL GP Ltd. as general partner on behalf of NGTL Limited Partnership,NGTL System,Upstream of James River,51.9475,-114.74,southeast & east,intracanada,187479.0,157824.87888251815,5965780.421759185
2006-01-03,3,1,2006,NGTL GP Ltd. as general partner on behalf of NGTL Limited Partnership,NGTL System,West Gate,49.6348,-114.588,west,intracanada,81013.0,42994.6,1625195.88
2006-01-04,4,1,2006,NGTL GP Ltd. as general partner on behalf of NGTL Limited Partnership,NGTL System,East Gate,50.6608,-110.028,east & southeast,intracanada,220461.0,227613.59999999998,8603794.079999998
2006-01-04,4,1,2006,NGTL GP Ltd. as general partner on behalf of NGTL Limited Partnership,NGTL System,North and East,53.6374,-112.018,east & north,intracanada,64843.0,29050.92794126377,1098125.0761797705
2006-01-04,4,1,2006,NGTL GP Ltd. as general partner on behalf of NGTL Limited Partnership,NGTL System,Upstream of James River,51.9475,-114.74,southeast & east,intracanada,187479.0,159977.54888251817,6047151.347759186
2006-01-04,4,1,2006,NGTL GP Ltd. as general partner on behalf of NGTL Limited Partnership,NGTL System,West Gate,49.6348,-114.588,west,intracanada,81013.0,52932.7,2000856.0599999998
2006-01-05,5,1,2006,NGTL GP Ltd. as general partner on behalf of NGTL Limited Partnership,NGTL System,East Gate,50.6608,-110.028,east & southeast,intracanada,220461.0,231551.5,8752646.7
2006-01-05,5,1,2006,NGTL GP Ltd. as general partner on behalf of NGTL Limited Partnership,NGTL System,North and East,53.6374,-112.018,east & north,intracanada,64843.0,29043.92794126377,1097860.4761797704
2006-01-05,5,1,2006,NGTL GP Ltd. as general partner on behalf of NGTL Limited Partnership,NGTL System,Upstream of James River,51.9475,-114.74,southeast & east,intracanada,187479.0,161047.54888251817,6087597.347759186
2006-01-05,5,1,2006,NGTL GP Ltd. as general partner on behalf of NGTL Limited Partnership,NGTL System,West Gate,49.6348,-114.588,west,intracanada,81013.0,41718.1,1576944.18
2006-01-06,6,1,2006,NGTL GP Ltd. as general partner on behalf of NGTL Limited Partnership,NGTL System,East Gate,50.6608,-110.028,east & southeast,intracanada,220461.0,231716.0,8758864.799999999
2006-01-06,6,1,2006,NGTL GP Ltd. as general partner on behalf of NGTL Limited Partnership,NGTL System,North and East,53.6374,-112.018,east & north,intracanada,64843.0,28404.92794126377,1073706.2761797705
2006-01-06,6,1,2006,NGTL GP Ltd. as general partner on behalf of NGTL Limited Partnership,NGTL System,Upstream of James River,51.9475,-114.74,southeast & east,intracanada,187479.0,158476.84888251816,5990424.887759185
2006-01-06,6,1,2006,NGTL GP Ltd. as general partner on behalf of NGTL Limited Partnership,NGTL System,West Gate,49.6348,-114.588,west,intracanada,81013.0,43248.2,1634781.9599999997
2006-01-07,7,1,2006,NGTL GP Ltd. as general partner on behalf of NGTL Limited Partnership,NGTL System,East Gate,50.6608,-110.028,east & southeast,intracanada,220461.0,226209.5,8550719.1
2006-01-07,7,1,2006,NGTL GP Ltd. as general partner on behalf of NGTL Limited Partnership,NGTL System,North and East,53.6374,-112.018,east & north,intracanada,64843.0,28958.92794126377,1094647.4761797704
2006-01-07,7,1,2006,NGTL GP Ltd. as general partner on behalf of NGTL Limited Partnership,NGTL System,Upstream of James River,51.9475,-114.74,southeast & east,intracanada,187479.0,159101.63888251816,6014041.949759186
2006-01-07,7,1,2006,NGTL GP Ltd. as general partner on behalf of NGTL Limited Partnership,NGTL System,West Gate,49.6348,-114.588,west,intracanada,81013.0,46180.5,1745622.9
2006-01-08,8,1,2006,NGTL GP Ltd. as general partner on behalf of NGTL Limited Partnership,NGTL System,East Gate,50.6608,-110.028,east & southeast,intracanada,220461.0,225864.1,8537662.98
2006-01-08,8,1,2006,NGTL GP Ltd. as general partner on behalf of NGTL Limited Partnership,NGTL System,North and East,53.6374,-112.018,east & north,intracanada,64843.0,30317.92794126377,1146017.6761797704
2006-01-08,8,1,2006,NGTL GP Ltd. as general partner on behalf of NGTL Limited Partnership,NGTL System,Upstream of James River,51.9475,-114.74,southeast & east,intracanada,187479.0,158275.85888251817,5982827.465759186
2006-01-08,8,1,2006,NGTL GP Ltd. as general partner on behalf of NGTL Limited Partnership,NGTL System,West Gate,49.6348,-114.588,west,intracanada,81013.0,45713.5,1727970.2999999998
2006-01-09,9,1,2006,NGTL GP Ltd. as general partner on behalf of NGTL Limited Partnership,NGTL System,East Gate,50.6608,-110.028,east & southeast,intracanada,220461.0,226693.5,8569014.299999999
2006-01-09,9,1,2006,NGTL GP Ltd. as general partner on behalf of NGTL Limited Partnership,NGTL System,North and East,53.6374,-112.018,east & north,intracanada,64843.0,29198.92794126377,1103719.4761797704
2006-01-09,9,1,2006,NGTL GP Ltd. as general partner on behalf of NGTL Limited Partnership,NGTL System,Upstream of James River,51.9475,-114.74,southeast & east,intracanada,187479.0,156310.85888251817,5908550.465759186
2006-01-09,9,1,2006,NGTL GP Ltd. as general partner on behalf of NGTL Limited Partnership,NGTL System,West Gate,49.6348,-114.588,west,intracanada,81013.0,46567.8,1760262.84
2006-01-10,10,1,2006,NGTL GP Ltd. as general partner on behalf of NGTL Limited Partnership,NGTL System,East Gate,50.6608,-110.028,east & southeast,intracanada,220461.0,220978.1,8352972.18
2006-01-10,10,1,2006,NGTL GP Ltd. as general partner on behalf of NGTL Limited Partnership,NGTL System,North and East,53.6374,-112.018,east & north,intracanada,64843.0,27456.92794126377,1037871.8761797705
2006-01-10,10,1,2006,NGTL GP Ltd. as general partner on behalf of NGTL Limited Partnership,NGTL System,Upstream of James River,51.9475,-114.74,southeast & east,intracanada,187479.0,159430.85888251817,6026486.465759186
2006-01-10,10,1,2006,NGTL GP Ltd. as general partner on behalf of NGTL Limited Partnership,NGTL System,West Gate,49.6348,-114.588,west,intracanada,81013.0,46853.9,1771077.42
2006-01-11,11,1,2006,NGTL GP Ltd. as general partner on behalf of NGTL Limited Partnership,NGTL System,East Gate,50.6608,-110.028,east & southeast,intracanada,220461.0,215466.0,8144614.8
2006-01-11,11,1,2006,NGTL GP Ltd. as general partner on behalf of NGTL Limited Partnership,NGTL System,North and East,53.6374,-112.018,east & north,intracanada,64843.0,28089.92794126377,1061799.2761797705
2006-01-11,11,1,2006,NGTL GP Ltd. as general partner on behalf of NGTL Limited Partnership,NGTL System,Upstream of James River,51.9475,-114.74,southeast & east,intracanada,187479.0,159182.80888251818,6017110.175759187
2006-01-11,11,1,2006,NGTL GP Ltd. as general partner on behalf of NGTL Limited Partnership,NGTL System,West Gate,49.6348,-114.588,west,intracanada,81013.0,47078.2,1779555.9599999997
2006-01-12,12,1,2006,NGTL GP Ltd. as general partner on behalf of NGTL Limited Partnership,NGTL System,East Gate,50.6608,-110.028,east & southeast,intracanada,220461.0,213961.0,8087725.8
2006-01-12,12,1,2006,NGTL GP Ltd. as general partner on behalf of NGTL Limited Partnership,NGTL System,North and East,53.6374,-112.018,east & north,intracanada,64843.0,28990.92794126377,1095857.0761797705
2006-01-12,12,1,2006,NGTL GP Ltd. as general partner on behalf of NGTL Limited Partnership,NGTL System,Upstream of James River,51.9475,-114.74,southeast & east,intracanada,187479.0,158416.24888251815,5988134.207759186
2006-01-12,12,1,2006,NGTL GP Ltd. as general partner on behalf of NGTL Limited Partnership,NGTL System,West Gate,49.6348,-114.588,west,intracanada,81013.0,46504.1,1757854.9799999997
2006-01-13,13,1,2006,NGTL GP Ltd. as general partner on behalf of NGTL Limited Partnership,NGTL System,East Gate,50.6608,-110.028,east & southeast,intracanada,220461.0,222176.7,8398279.26
2006-01-13,13,1,2006,NGTL GP Ltd. as general partner on behalf of NGTL Limited Partnership,NGTL System,North and East,53.6374,-112.018,east & north,intracanada,64843.0,28738.92794126377,1086331.4761797704
2006-01-13,13,1,2006,NGTL GP Ltd. as general partner on behalf of NGTL Limited Partnership,NGTL System,Upstream of James River,51.9475,-114.74,southeast & east,intracanada,187479.0,157135.85888251817,5939735.465759186
2006-01-13,13,1,2006,NGTL GP Ltd. as general partner on behalf of NGTL Limited Partnership,NGTL System,West Gate,49.6348,-114.588,west,intracanada,81013.0,55498.3,2097835.7399999998
2006-01-14,14,1,2006,NGTL GP Ltd. as general partner on behalf of NGTL Limited Partnership,NGTL System,East Gate,50.6608,-110.028,east & southeast,intracanada,220461.0,223566.2,8450802.36
2006-01-14,14,1,2006,NGTL GP Ltd. as general partner on behalf of NGTL Limited Partnership,NGTL System,North and East,53.6374,-112.018,east & north,intracanada,64843.0,29091.92794126377,1099674.8761797703
2006-01-14,14,1,2006,NGTL GP Ltd. as general partner on behalf of NGTL Limited Partnership,NGTL System,Upstream of James River,51.9475,-114.74,southeast & east,intracanada,187479.0,157616.80888251818,5957915.375759186
2006-01-14,14,1,2006,NGTL GP Ltd. as general partner on behalf of NGTL Limited Partnership,NGTL System,West Gate,49.6348,-114.588,west,intracanada,81013.0,51413.8,1943441.64
2006-01-15,15,1,2006,NGTL GP Ltd. as general partner on behalf of NGTL Limited Partnership,NGTL System,East Gate,50.6608,-110.028,east & southeast,intracanada,220461.0,226051.59999999998,8544750.479999999
2006-01-15,15,1,2006,NGTL GP Ltd. as general partner on behalf of NGTL Limited Partnership,NGTL System,North and East,53.6374,-112.018,east & north,intracanada,64843.0,29054.92794126377,1098276.2761797705
2006-01-15,15,1,2006,NGTL GP Ltd. as general partner on behalf of NGTL Limited Partnership,NGTL System,Upstream of James River,51.9475,-114.74,southeast & east,intracanada,187479.0,160030.54888251817,6049154.747759187
2006-01-15,15,1,2006,NGTL GP Ltd. as general partner on behalf of NGTL Limited Partnership,NGTL System,West Gate,49.6348,-114.588,west,intracanada,81013.0,53085.4,2006628.1199999999
2006-01-16,16,1,2006,NGTL GP Ltd. as general partner on behalf of NGTL Limited Partnership,NGTL System,East Gate,50.6608,-110.028,east & southeast,intracanada,220461.0,229177.7,8662917.06
2006-01-16,16,1,2006,NGTL GP Ltd. as general partner on behalf of NGTL Limited Partnership,NGTL System,North and East,53.6374,-112.018,east & north,intracanada,64843.0,29438.92794126377,1112791.4761797704
2006-01-16,16,1,2006,NGTL GP Ltd. as general partner on behalf of NGTL Limited Partnership,NGTL System,Upstream of James River,51.9475,-114.74,southeast & east,intracanada,187479.0,157499.29888251817,5953473.497759187
2006-01-16,16,1,2006,NGTL GP Ltd. as general partner on behalf of NGTL Limited Partnership,NGTL System,West Gate,49.6348,-114.588,west,intracanada,81013.0,53647.2,2027864.1599999997
2006-01-17,17,1,2006,NGTL GP Ltd. as general partner on behalf of NGTL Limited Partnership,NGTL System,East Gate,50.6608,-110.028,east & southeast,intracanada,220461.0,224038.30000000002,8468647.74
2006-01-17,17,1,2006,NGTL GP Ltd. as general partner on behalf of NGTL Limited Partnership,NGTL System,North and East,53.6374,-112.018,east & north,intracanada,64843.0,28141.92794126377,1063764.8761797703
2006-01-17,17,1,2006,NGTL GP Ltd. as general partner on behalf of NGTL Limited Partnership,NGTL System,Upstream of James River,51.9475,-114.74,southeast & east,intracanada,187479.0,155206.74888251815,5866815.107759186
2006-01-17,17,1,2006,NGTL GP Ltd. as general partner on behalf of NGTL Limited Partnership,NGTL System,West Gate,49.6348,-114.588,west,intracanada,81013.0,53628.3,2027149.74
2006-01-18,18,1,2006,NGTL GP Ltd. as general partner on behalf of NGTL Limited Partnership,NGTL System,East Gate,50.6608,-110.028,east & southeast,intracanada,220461.0,228777.2,8647778.16
2006-01-18,18,1,2006,NGTL GP Ltd. as general partner on behalf of NGTL Limited Partnership,NGTL System,North and East,53.6374,-112.018,east & north,intracanada,64843.0,28548.92794126377,1079149.4761797704
2006-01-18,18,1,2006,NGTL GP Ltd. as general partner on behalf of NGTL Limited Partnership,NGTL System,Upstream of James River,51.9475,-114.74,southeast & east,intracanada,187479.0,160677.35888251817,6073604.165759186
2006-01-18,18,1,2006,NGTL GP Ltd. as general partner on behalf of NGTL Limited Partnership,NGTL System,West Gate,49.6348,-114.588,west,intracanada,81013.0,46983.6,1775980.0799999998
2006-01-19,19,1,2006,NGTL GP Ltd. as general partner on behalf of NGTL Limited Partnership,NGTL System,East Gate,50.6608,-110.028,east & southeast,intracanada,220461.0,231615.3,8755058.339999998
2006-01-19,19,1,2006,NGTL GP Ltd. as general partner on behalf of NGTL Limited Partnership,NGTL System,North and East,53.6374,-112.018,east & north,intracanada,64843.0,32114.92794126377,1213944.2761797705
2006-01-19,19,1,2006,NGTL GP Ltd. as general partner on behalf of NGTL Limited Partnership,NGTL System,Upstream of James River,51.9475,-114.74,southeast & east,intracanada,187479.0,157857.61888251817,5967017.993759187
2006-01-19,19,1,2006,NGTL GP Ltd. as general partner on behalf of NGTL Limited Partnership,NGTL System,West Gate,49.6348,-114.588,west,intracanada,81013.0,45602.5,1723774.4999999998
2006-01-20,20,1,2006,NGTL GP Ltd. as general partner on behalf of NGTL Limited Partnership,NGTL System,East Gate,50.6608,-110.028,east & southeast,intracanada,220461.0,232473.4,8787494.52
2006-01-20,20,1,2006,NGTL GP Ltd. as general partner on behalf of NGTL Limited Partnership,NGTL System,North and East,53.6374,-112.018,east & north,intracanada,64843.0,32512.92794126377,1228988.6761797704
2006-01-20,20,1,2006,NGTL GP Ltd. as general partner on behalf of NGTL Limited Partnership,NGTL System,Upstream of James River,51.9475,-114.74,southeast & east,intracanada,187479.0,164646.24888251815,6223628.207759186
2006-01-20,20,1,2006,NGTL GP Ltd. as general partner on behalf of NGTL Limited Partnership,NGTL System,West Gate,49.6348,-114.588,west,intracanada,81013.0,46131.5,1743770.7
2006-01-21,21,1,2006,NGTL GP Ltd. as general partner on behalf of NGTL Limited Partnership,NGTL System,East Gate,50.6608,-110.028,east & southeast,intracanada,220461.0,229673.2,8681646.959999999
2006-01-21,21,1,2006,NGTL GP Ltd. as general partner on behalf of NGTL Limited Partnership,NGTL System,North and East,53.6374,-112.018,east & north,intracanada,64843.0,31370.92794126377,1185821.0761797705
2006-01-21,21,1,2006,NGTL GP Ltd. as general partner on behalf of NGTL Limited Partnership,NGTL System,Upstream of James River,51.9475,-114.74,southeast & east,intracanada,187479.0,166197.80888251818,6282277.175759187
2006-01-21,21,1,2006,NGTL GP Ltd. as general partner on behalf of NGTL Limited Partnership,NGTL System,West Gate,49.6348,-114.588,west,intracanada,81013.0,46552.2,1759673.1599999997
