firm
Athabasca Oil Corp.
Baytex Energy Ltd.
Bighorn Energy Corp.
Caltex Resources Ltd.
Caltex Trilogy Inc.
Canadian Natural Resources Ltd.
Canadian Natural Resources Ltd. (¹)
Cenovus Energy Inc.
Cenovus Energy Inc. (¹)
Cenovus FCCL Ltd.
Clear North Energy Corp.
ConocoPhillips Canada Resources Corp.
Crispin Energy Inc.
Devon Canada Corp.
Gear Energy Ltd.
Grizzly Oil Sands ULC
Harvest Operations Corp.
Highwood Oil Company Ltd.
Imperial Oil Ltd.
Imperial Oil Resources Ltd.
Ipc Canada Ltd.
Kasten Energy Inc.
Lineup Resources Corp.
Longshore Resources Ltd.
Lycos Energy Inc.
MEG Energy Corp.
Rubellite Energy Inc.
Strathcona Resources Ltd.
West Lake Energy Corp.
