"","project","project_name","operator_name"
"1","CSR006","Wolf Lake Crown Agreement","Canadian Natural Resources Limited"
"2","OSR004","Seibert Lake","Canadian Natural Resources Limited"
"3","OSR005","Ft. Kent","Canadian Natural Resources Limited"
"4","OSR010","Ashmont","Canadian Natural Resources Limited"
"5","OSR012","Lindbergh North","Canadian Natural Resources Limited"
"6","OSR013","Cnrl Cold Lake","Canadian Natural Resources Limited"
"7","OSR016","Foster Creek","Cenovus Fccl Ltd."
"8","OSR021","Edward Lake","Canadian Natural Resources Limited"
"9","OSR025","Moosehills","Canadian Natural Resources Limited"
"10","OSR030","Primrose","Canadian Natural Resources Limited"
"11","OSR037","Cold Lake","Imperial Oil Resources Limited"
"12","OSR042","Christina Lake (Cve)","Cenovus Fccl Ltd."
"13","OSR052","Mann North","Devon Canada Corporation"
"14","OSR059","Surmont","Conocophillips Canada Resources Corp."
"15","OSR064","Burnt Lake","Canadian Natural Resources Limited"
"16","OSR067","Reita Lake ( Cnrl )","Canadian Natural Resources Limited"
"17","OSR068","Reita Lake (Baytex)","Baytex Energy Ltd."
"18","OSR069","Orion","Osum Production Corp."
"19","OSR070","Mann Lake East","Baytex Energy Ltd."
"20","OSR075","Christina Lake (Meg)","Meg Energy Corp."
"21","OSR077","Jackfish","Devon Canada Corporation"
"22","OSR080","Tucker","Husky Oil Operations Limited"
"23","OSR108","Leismer","Athabasca Oil Corporation"
"24","OSR111","Kirby South","Canadian Natural Resources Limited"
"25","OSR116","Blackrod","Blackpearl Resources Inc."
"26","OSR117","Jackfish 2","Devon Canada Corporation"
"27","OSR121","Fire Tower","Canadian Natural Resources Limited"
"28","OSR124","Jackfish 3","Devon Canada Corporation"
"29","OSR128","Amadou Primary Heavy Oil","Husky Oil Operations Limited"
"30","OSR146","Blackgold","Harvest Operations Corp."
"31","OSR148","Kirby North","Canadian Natural Resources Limited"
"32","OSR156","Bonnyville","Devon Canada Corporation"
